What kind of memory ?  ||| 什么样 的 记忆 ？
We respectfully invite you to watch a special edition of Across China .  ||| 敬请 收看 *PRO* 走遍 中国 特别 节目 ，
WW II Landmarks on the Great Earth of China : Eternal Memories of Taihang Mountain  ||| 中国 大地 上 的 二战 标志 之 太行 永志 。
Standing tall on Taihang Mountain is the Monument to the Hundred Regiments Offensive .  ||| 百团大战 纪念碑 巍然 屹立 在 太行山 上 ，
It is composed of a primary stele , secondary steles , a huge round sculpture and beacon tower , and the Great Wall , among other things . ||| 它 由 主碑 ， 副碑 ， 一 座 大型 圆雕 和 烽火台 ， 长城 等 组成 。
A primary stele , three secondary steles , and two inscribed steles .  ||| 主碑 和 三 座 副碑 以及 两 座 题字碑 。
The Hundred Regiments Offensive was the campaign of the largest scale launched by the Eighth Route Army during the War of Resistance against Japan . ||| 百团大战 是 八路军 在 抗战 期间 发动 的 *T*-1 规模 最 大 的 一 次 战役 。
This campaign broke through the Japanese army 's blockade to reach base areas behind enemy lines , stirring up anti-Japanese spirit throughout the nation and influencing the situation of the anti-fascist war of the people ||| 这 场 战役 打破 了 日军 对 敌后 根据地 的 封锁 ， 振奋 全 国 人民 抗日 精神 ， 影响 了 世界 人民 反法西斯 战争 的 形势 。
This is Zhuanbi Village , Wuxiang County of Shanxi Province , where the Eighth Route Army was headquartered back then .  ||| 这里 是 山西省 武乡县 的 砖壁村 ， 当年 八路军 的 总部 就 设 在 这里 。
On a wall outside the headquarters we found a map .  ||| 在 总部 外 的 墙 上 我们 发现 了 一 张 地图 ， 这 张 地图 是 当年 八路军 绘制 的 地中海 形势图 。
This map was the Eighth Route Army 's depiction of the Mediterranean Sea situation at that time .  ||| 在 总部 外 的 墙 上 我们 发现 了 一 张 地图 ， 这 张 地图 是 当年 八路军 绘制 的 地中海 形势图 。
This map reflected the European battlefield situation .  ||| 该 图 反映 的 是 欧洲 战场 的 形势 。
In 1940 , the German army invaded and occupied Czechoslovakia , Poland , the Netherlands , Belgium , and France .  ||| 一九四零年 ， 德军 侵占 捷克 ， 波兰 ， 荷兰 ， 比利时 和 法国 。
It was during this year that the Japanese army developed a strategy to rapidly force the Chinese people into submission by the end of 1940 . ||| 也 就 在 这 一 年 ， 日本 军队 制定 了 要 在 一九四零年 年底 前 ， 迅速 迫使 中国 人民 屈服 的 策略 。
In May , the Japanese army launched--  ||| 日军 在 五月份儿 呢 发动 了 ，
From one side , it seized an important city in China called Yichang .  ||| 整 一 方面 呢 他 就 占领 了 这个 中国 的 一 个 重要 城市 叫 宜昌 ，
Um , , uh , through Yichang , it could directly reach Chongqing .  ||| 这个 宜昌 呢 顺 宜昌 一家伙 上来 就 ， 就 可以 到 重庆 ，
Ah , that threatened Chongqing .  ||| 啊 就 威胁 重庆 了 。
Then they would , ah , bomb these large rear areas such as Chongqing .  ||| 那 就 对 重庆 啊 这些 大后方 呢 一 个 （ （ ） ） 的 轰炸 。
So , along with the coordinated , er , economic blockade , military offensives , and strategic bombings , er , a simultaneous attack was launched in Hong Kong to lure the KMT government into surrender . ||| 就 是 在 经济 封锁 ， 军事 进攻 ， 战略 轰炸 这样 的 这个 呃 互相 的 这个 配合 下 呢 ， 呃 在 香港 开展 了 一 个 呢 诱降 国民政府 的 一 个 同攻 ，
The progress of this coordinated offensive was already very entrenched by then .  ||| 这个 同攻 到 那 进展 的 已经 是 很 深入 了 。
By 1940 , China 's War of Resistance against Japan had entered a stalemate .  ||| 一九四零年 ， 中国 的 抗日战争 已经 进入 相持 阶段 ，
The situation on our side and the enemy 's side was intertwined .  ||| 敌我 形势 犬牙交错 ，
The Eighth Route Army guerrillas were extraordinarily active , creating more and more trouble for the Japanese army in North China . ||| 八路军 游击队 异常 活跃 给 华北 地区 的 日军 制造 了 越来越 多 的 麻烦 。
Hayao Tada , commander of the Japanese North China Area Army , adopted a strategy of siege warfare to deal with the Eighth Route Army . ||| 日本 华北 方面军 司令官 多田骏 八路军 和 策 来 对付 八路军 ，
The specific method was building a closely connected transport network , with a road for every village and defensive towers on every road . ||| 具体 做法 是 建立 *T*-1 联系 紧密 的 交通网 ， 使 村村 有 公路 ， 路路 有 炮楼 ，
Roads and railways were used as links to connect all of North China into a solid , widespread siege , in order to strangle the Eighth Route Army and its base areas in this net . ||| 以 公路 ， 铁路 为 纽带 ， 欲 将 整个 华北 结成 一 张 坚韧 的 大 网 采用 囚笼 政策 将 八路军 和 根据地 困死 在 这 张 网 里 。
As part of the Japanese army 's strategy of siege warfare , railways and roads had actually become the Japanese army 's weapons of war , becoming a great threat to the base areas . ||| 在 日军 囚笼 政策 里 ， 铁路 ， 公路 实际上 已经 成为 日军 的 战争 武器 ， 成为 对抗 根据地 的 重大 威胁 。
In December 1939 , Commander-in-chief Zhu De and Vice Commander Peng Dehuai of the Eighth Route Army received a top-secret telegram from Commander Lu Zhengcao of the Jizhong Military District , among other people . ||| 一九三九年 十二月 ， 八路军 总司令 朱德 ， 副总司令 彭德怀 ， 收到 *T*-1 来自 冀中 军区 司令员 吕正操 等 人 发来 的 一 份 绝密 电报 。
The telegram said that the Japanese troops were building blockade trenches and chessboard-like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing ||| 电报 说 ， 日军 正 试图 通过 修建 封锁沟 和 棋盘状 道路 ， 把 冀中 根据地 分割 成 *T*-1 不 能 相互 联系 支援 的 孤立 小 块 ， 使得 八路军 和 游击队 失去
Before the Hundred Regiments Offensive in 1940 , an inclination to compromise , ah , surrender , was an extremely serious crisis in the frontline situation in China . ||| 四零年 在 在 百团大战 前 呢 ， 中国 国内 这个 妥协 啊 ， 啊 投降 啊 这个 倾向 危机 呢 是 空前 严重 的 ， 就 是 在 正 ， 正面 的 这个 （ （ 境况 ） ） 下 。
Well , on the battlefield behind enemy lines , in order to take over , consolidate the area under its occupation , Japan began a new strategy . ||| 那么 敌后 战场 呢 ， 日本 为了 要 夺取 ， 巩固 它 这个 占领区 ， 它 开始 那个 新 的 战略 。
That was to use railways as a pillar , roads as a chain , and strongholds as a lock , to carry out siege warfare in an attempt to divide the base areas behind enemy lines , ah , so as , er , to cut off their communication with one another . ||| 就 是 以 铁路 为 一 个 柱子 ， 以 公路 为 一 个 链子 ， 以 这个 据点 呢 为 一 把 锁 ， 这样 呢 进行 一 个 囚笼子 作战 ，
That was to use railways as a pillar , roads as a chain , and strongholds as a lock , to carry out siege warfare in an attempt to divide the base areas behind enemy lines , ah , so as , er , to cut off their communication with one another . ||| 企图 把 敌后 根据地 呢 分割 开 ，
That was to use railways as a pillar , roads as a chain , and strongholds as a lock , to carry out siege warfare in an attempt to divide the base areas behind enemy lines , ah , so as , er , to cut off their communication with one another . ||| 啊 这个 呃 断绝 他们 的 互相 联系 ，
In addition , it relied on this cage , ah , to further strengthen its assaults against the base areas .  ||| 而且 依托 这个 囚笼 呢 啊 来 进一步 地 加强 对 根据地 的 进攻 。
Er .  ||| 呃
So , it was amidst such a grave international and domestic situation that the Eighth Route Army led by the Chinese Communist Party , ah , launched , ah , a strategic offensive called the Hundred Regiments Offensive . ||| 就是说 在 这样 一 个 国际 ， 国内 严峻 的 形势 下 ， 这个 中国 共产党 领导 这个 八路军 啊 ， 就 开始 那么 就 啊 战略性 的 进攻 战役 ， 叫 百团大战 。
This plot of the Japanese army drew great attention from Zhu De and Peng Dehuai of Eighth Route Army headquarters .  ||| 日军 这 一 阴谋 引起 八路军 总部 朱德 ， 彭德怀 的 高度 警惕 。
