At 3:42 on July 28 , 1976 , a strong earthquake hit Tangshan .  ||| 一九七六年 七月 二十八日 三时 四十二分 ， 唐山 发生 强烈 地震 。
On the morning of the 28th , the National Earthquake Administration called an emergency consultative meeting .  ||| 二十八日 上午 国家 地震局 召开 紧急 会商会 。
At the meeting , Huang Xiangning read the earthquake prediction that they had previously issued .  ||| 会上 ， 黄相宁 宣读 了 他们 之前 作出 的 地震 预报 意见 。 这 一 情况 引起 有关 方面 注意 。
This attracted the attention of people in the relevant fields .  ||| 会上 ， 黄相宁 宣读 了 他们 之前 作出 的 地震 预报 意见 。 这 一 情况 引起 有关 方面 注意 。
At 10:30 p .m . , as Huang Xiangning was preparing to return home , he was met by people who led him away from the door of his home , and that night he reported to the country 's leaders on earthquake forecasting . ||| 晚上 十点半钟 ， *T*-1 正 准备 回家 的 黄相宁 被 人 从 家门口 接走 ， 连夜 向 国家 领导 汇报 地震 预测 情况 。
What sort of questions did Hua Guofeng ask then ?  ||| 当时 华国峰 都 询问 了 哪些 问题 ？ *T*-1 在座 的 还 有 谁 ？
Who else was there ?  ||| 当时 华国峰 都 询问 了 哪些 问题 ？ *T*-1 在座 的 还 有 谁 ？
Oh , , when I went in , there was , uh , Mei Shirong , the deputy director , he was the deputy director of the analysis and forecasting office in charge of , and Director Liu Yingyong , that is the Seismology Bureau Director at that time , they ||| 呃 ，
Oh , , when I went in , there was , uh , Mei Shirong , the deputy director , he was the deputy director of the analysis and forecasting office in charge of , and Director Liu Yingyong , that is the Seismology Bureau Director at that time , they ||| 我 ， 我 去 了 的 时候 当时 正好 是 ， 呃 ， 梅世蓉 ， 副主任 ， 就 他 是 分析 预报室 的 副主任 *T*-2 主管 华北 震 前 的 和 刘英勇 局长 ， 就 是
As he reached the end of the report , Mei Shirong said , he thought he wanted--  ||| 那个 梅世蓉 ， 汇报 到 最后 ， 就是说 ， 认为 要 ，
The Tangshan earthquake was a paroxysmal earthquake .  ||| 唐山 这个 地震 ， 是 个 突发性 的 地震 。
This type of earthquake has no precursors , and so it ca n 't be predicted and you ca n 't take precautions .  ||| 这 种 地震 呢 它 是 没有 任何 前兆 的 ， 因此 是 不 可 预测 的 ， 也 不 可 预防 的 。
Uh , that was the gist of Mei Shirong 's remarks at the end of the report .  ||| 呃 这 是 *T*-1 梅世蓉 汇报 到 最后 的 话 的 意思 ， 原话 。
But before this , you clearly had already reported this opinion to the analysis and forecasting office .  ||| 但是 你们 在 之前 ， 明明 已经 把 这个 意见 汇报 给 分析 预测室 了 。
The report went to the Seismology Bureau , yes .  ||| 汇报 到 地震局 了 ， 是 的 。
How could he say this ?  ||| 他 怎么 能够 这么 说 呢 ， 这 是 和 事实 完全 不 相符 的 。
This is absolutely contrary to the facts .  ||| 他 怎么 能够 这么 说 呢 ， 这 是 和 事实 完全 不 相符 的 。
Well , I do n 't know , , could it be , uh , that-LRB-he-RRB-was afraid that the responsibility was too much , so-LRB-he-RRB-blabbered out of a frightened mentality . ||| 那 我 就 不 知道 ， 我 估计 可能 是
Well , I do n 't know , , could it be , uh , that-LRB-he-RRB-was afraid that the responsibility was too much , so-LRB-he-RRB-blabbered out of a frightened mentality . ||| 是 不 是 呃 ， 怕 这个 责任 太 大 ， 有 些 害怕 的 心理 瞎说 的 。
That 's my guess , maybe it was what he was thinking under frightening circumstances .  ||| 这 是 我 的 猜想 啊 ， 是 不 是 害怕 的 情况 下 心里 想 。
After I went there , after he finished the report , Premier Hua allowed me to report .  ||| 我 到 那 以后 呢 ， 他 汇报 完 之后 ， 华 总理 就 让 我 来 汇报 。
When I saw what was going on , I took the annual forecast , and I had no report .  ||| 我 一 看 这个 情况 我 就 把 年度 的 预报 意见 我 就 没有 汇报 。
So , I went directly to discussing our short-term annual forecast , it was July 14 , , I put it down on the table , and let them , read the original once , and then I reported , and they did n 't interrupt at all . ||| 我 就 ， 直接 谈 了 就是 我们 短年 预测 意见 ， 就 是 七月 十四号 这个 ，
So , I went directly to discussing our short-term annual forecast , it was July 14 , , I put it down on the table , and let them , read the original once , and then I reported , and they did n 't interrupt at all . ||| 我 就 放在 桌子 上 ， 给 他们 ， 按 原文 这么 念 了 一 遍 吧 ， 就 汇报 ， 他们 也 没 插 什么 话 。
I finished , and Hua Guofeng then said , uh , the Party Central Committee 's State Council does not hold you comrades in earthquake industry responsible , we hope you will continue to do your monitoring and forecasting work to protect the ||| 完 了 ， 华国峰 就 说 那个 ， 啊 ， 党 中央 国务院 ， 不 责怪 你们 这个 地震 预报 地震界 的 同志 ， 希望 你们 继续 做好 监测 预报 工作 ， 那个 保卫 党 中央 ， 保卫 毛 主席 ， 这 就 是
That was what they said .  ||| 完 了 ， 华国峰 就 说 那个 ， 啊 ， 党 中央 国务院 ， 不 责怪 你们 这个 地震 预报 地震界 的 同志 ， 希望 你们 继续 做好 监测 预报 工作 ， 那个 保卫 党 中央 ， 保卫 毛 主席 ， 这 就 是
But obviously what you said , the facts you stated , conflicted with what Mei Shirong had stated .  ||| 但是 很 明显 ， 您 所 说 的 话 ， 您 所 叙述 的 事实 是 和 梅世蓉 讲 的 话 有 冲突 的 。
Yes .  ||| 是 的 。
At the time , did n 't anyone express any dissatisfaction over this ?  ||| 当时 ， 没有 人 对此 引起 任何 的 不满 吗 ？
No .  ||| 没有 。
Oh , , they did n 't raise any questions about this .  ||| 哎 ， 国家 领导 没 ， 没有 在 这 上头 提 什么 问题 。
And no one suggested looking into the responsibility of the Earthquake Administration ?  ||| 也 没有 人 提出 过 要 追究 地震局 的 责任 吗 ？
