Abramov had a car accident in Moscow last night and was seriously injured .  ||| 阿布拉莫夫 昨天 晚上 在 莫斯科 遭遇 了 车祸 ， 并且 身受 重伤 。
Right now , Abramov is being treated in the hospital , but his life is already out of danger .  ||| 目前 呢 ， 阿布拉莫夫 正 在 医院 接受 救治 ， 但是 他 已经 脱离 了 生命 危险 。
Chechen President Alkhanov said yesterday that according to the preliminary investigation , his car accident was only an ordinary traffic accident and was unlikely to be a well-planned assassination attempt . ||| 车臣 总统 阿尔哈诺夫 昨天 就说 ， 根据 初步 的 调查 表明 ， 他 遭遇 的 车祸 只 是 一 起 普通 的 交通 事故 ， 不 可能 是 *pro* 精心 策划 的 谋杀 事件 。
Right now , First Deputy Prime Minister Kadyrov is acting prime minister temporarily .  ||| 目前 车臣 第一 副总理 卡特罗夫 暂 代替 总理 一 职 。
Let 's now take a look at this .  ||| 我们 再 来 看 ， *T*-1 在 韩国 釜山 参加 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 第十三 次 领导人 非正式 会议 的 美国 总统 布什 和 俄罗斯 总统 普京 今天 在 会议 开始 之前 ，
US President Bush and Russian President Putin participating in the 13th Informal APEC Leaders  ' Meeting in Pusan , South Korea , met briefly today before the meeting began . ||| 我们 再 来 看 ， *T*-1 在 韩国 釜山 参加 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 第十三 次 领导人 非正式 会议 的 美国 总统 布什 和 俄罗斯 总统 普京 今天 在 会议 开始 之前 ，
The content of their discussion during the meeting was not publicly disclosed .  ||| 两 个 人 在 会晤 当中 讨论 的 内容 没有 被 公开 ， 但是 呢 ， 根据 白宫 的 官员 透露 ， 布什 和 普京 主要 讨论 了 反恐 ， 朝鲜 半岛 核 问题 ， 伊朗 核 问题 ，
However , according to White House officials , Bush and Putin mainly discussed a series of topics such as anti-terrorism , the Korean peninsula nuclear issue , the Iran nuclear issue , and the Russian accession to the WTO . ||| 两 个 人 在 会晤 当中 讨论 的 内容 没有 被 公开 ， 但是 呢 ， 根据 白宫 的 官员 透露 ， 布什 和 普京 主要 讨论 了 反恐 ， 朝鲜 半岛 核 问题 ， 伊朗 核 问题 ，
Bush 's accompanying officials said that this is already the fifth meeting between the two leaders this year .  ||| 布什 的 随行 官员 就 表示 ， 这 已经 是 今年 两 位 领导人 进行 的 第五 次 会晤 。
Dear viewers , that 's all for the China News program .  ||| 各位 观众 ， 中国 新闻 节目 就 到 这儿 ， 谢谢 大家 的 收看 ！
Thank you for watching !  ||| 各位 观众 ， 中国 新闻 节目 就 到 这儿 ， 谢谢 大家 的 收看 ！
