There will be 120 million viewers tuning in to this evening reception .  ||| 将 会 有 一亿二千万 的 观众 收看 到 这 台 晚会 。
This has been a CCTV report .  ||| 中央台 记者 报道 。
Dear viewers , that 's all for the China News program .  ||| 各位 观众 ， 这 次 中国 新闻 节目 就 到 这儿 ， 我 是 徐丽 ， 谢谢 大家 的 收看 ！
This is Xu Li , thank you all for watching !  ||| 各位 观众 ， 这 次 中国 新闻 节目 就 到 这儿 ， 我 是 徐丽 ， 谢谢 大家 的 收看 ！
Coming up next , please stay tuned to Focus Today hosted by Wang Shilin .  ||| 接下来 ， 请 大家 收看 *T*-1 由 王世林 主持 的 今日 关注 节目 。
Dear viewers , good-bye !  ||| 各位 观众 再见 ！
News and events happen every day .  ||| 每 天 都 有 新闻 事件 发生 ，
What you are interested in is exactly what we will be focusing on .  ||| 您 所 关心 的 正 是 我们 所 关注 的 ，
This is CCTV Focus Today .  ||| 中国 中央 电视台 今日 关注 。
A British newspaper revealed that the US had planned to bomb the al-Jazeera TV station in Qatar .  ||| 英国 报纸 报料 美国 打算 轰炸 卡塔尔 半岛 电视台 。
Was this a joke told by US President Bush or was it a long-meditated threat ?  ||| 这 是 美国 总统 布什 的 玩笑话 ， 还是 积蓄 已 久 ， 放出 狠 话 ，
Did British Prime Minister Blair know nothing about it , or did he succeed in persuading his ally to give up the idea of attacks ? ||| 英国 首相 布莱尔 对此 是 一无所知 ， 还是 曾经 成功 的 说服 盟友 放弃 袭击 念头 ，
What exactly is the truth ?  ||| 事实 真相 究竟 是 什么 ？
Why can a TV station in a small Arab country have US President Bush on pins and needles ?  ||| 一 个 阿拉伯 小 国 的 电视台 为何 令 美国 总统 布什 寝食难安 ？
Focus Today is coming up in a minute .  ||| 稍后 请 看 今日 关注 。
Hello , dear viewers , welcome to Focus Today .  ||| 您 好 ， 观众 朋友 ， 欢迎 *PRO* 收看 今日 关注 。
On November 22 , the British newspaper Daily Mirror revealed that US President Bush once planned to bomb the al-Jazeera TV station headquarters , setting off a mighty uproar . ||| 十一月 二十二号 ， 英国 每日镜报 报出 了 美国 总统 布什 曾经 有 过 轰炸 半岛 电视台 总部 的 打算 ， 引起 了 轩然大波 。
