--basically , it was unanimously agreed upon by the various relevant parties .  ||| 基本上 得到 了 有关 各 方 的 一致 赞同 ，
To express its determination , the Chinese securities regulatory department compares this stock reform to a die that has been cast . ||| 中国 的 证券 监管 部门 也 将 这 次 股改 比喻 为 开 弓 没有 回头 箭 来 表达 决心 ，
It takes time to prove whether the stock reform can really meet expectations , and whether any deviations that arise during the stock reform can be promptly corrected . ||| 股改 是否 能 真的 如其所愿 ， 股改 中 出现 的 任何 偏差 是否 能 得到 及时 修正 ， 都 有待 时间 来 考验 。
Dear viewers , the China News program will end here .  ||| 各位 观众 ， 中国 新闻 节目 就 到 这 。 我 是 徐俐 。
This is Xu Li .  ||| 各位 观众 ， 中国 新闻 节目 就 到 这 。 我 是 徐俐 。
Thank you everyone for watching .  ||| 谢谢 大家 的 收看 ， 接下来 是 *T*-1 由 王世林 主持 的 今日 关注 节目 ， 各位 观众 再见 。
Coming up is the Focus Today program hosted by Wang Shilin .  ||| 谢谢 大家 的 收看 ， 接下来 是 *T*-1 由 王世林 主持 的 今日 关注 节目 ， 各位 观众 再见 。
Good-bye , dear viewers .  ||| 谢谢 大家 的 收看 ， 接下来 是 *T*-1 由 王世林 主持 的 今日 关注 节目 ， 各位 观众 再见 。
Hello , dear viewers .  ||| 您 好 ， 观众 朋友 ， 欢迎 *PRO* 收看 今日 关注 。
Welcome to Focus Today .  ||| 您 好 ， 观众 朋友 ， 欢迎 *PRO* 收看 今日 关注 。
Today , let 's turn our attention to a road cave-in accident that happened in Beijing over the holiday .  ||| 今天 呢 ， 我们 来 关注 节日 期间 北京 发生 的 一 起 路面 塌陷 事故 。
Before dawn on January 3 , a sewage pipe leakage accident occurred at the main and side roads of Jingguang Bridge , East Third Ring Road , Beijing Municipality , resulting in the road caving in . ||| 一月 三号 凌晨 ， 北京市 东三环 京广桥 主辅路 发生 了 污水 管线 的 漏水 事故 ， 造成 了 路面 的 塌陷 。
Relevant departments from Beijing Municipality promptly activated emergency contingency plans .  ||| 北京市 相关 部门 随即 呢 启动 了 突发 事件 的 紧急 预案 ，
The traffic administration department carried out traffic supervision near the accident scene .  ||| 交通 管理 部门 呢 也 对 事发地 附近 呢 进行 了 交通 管制 。
Well , how did the emergency response mechanisms activated by governmental departments operate effectively during the holiday ? ||| 那么 ， 节日 期间 政府 部门 启动 的 应急 处理 机制 是 如何 有效 地 运转 的 ？
After the holiday , what will be done to handle citizens  ' peak commute ?  ||| 节日 以后 ， 又 是 怎么样 来 应对 市民 的 出行 高峰 的 ？
