A much better looking News Night I might add as Paula Zahn sits in for Anderson and Aaron .  ||| 我 可能 会 补充 说 一下 ， 宝拉·赞恩 代班 安德森 和 亚伦 ， ＂ 新闻 之 夜 ＂ 更 漂亮 了 ．
They  're both off-  ||| 他们 都 离开 了 ．
Look at that .  ||| 看 那个 ．
Is that a replacement?  ||| 那 是 *T*-1 来 代班 的 人 吗 ？
Paula Paula .  ||| 宝拉 ， 宝拉 ．
Thank you for your faith Larry and thank you for your graciousness .  ||| 谢谢 你 的 信任 ， 拉里 ， 谢谢 你 的 客气 ．
And we  're going to get started here .  ||| 那么 我们 就 要 从 这里 开始 了 ．
Good evening everybody .  ||| 各位 晚上 好 ．
Welcome to News Night .  ||| 欢迎 *PRO* 收看 新闻 之 夜 ．
As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown .  ||| 就 像 ， 嗯 ， 拉里 刚 告诉 你 的 ， 我 是 宝拉·赞恩 ， 替 安德森·库珀 和 亚伦·布朗 这 两 位 代班 ．
He lost his life long ago .  ||| 他 死去 很 久 了 ．
but there 's still something modern science can give him back his identity .  ||| 但是 仍然 有些 东西 现代 科技 可以 使 他 找回 他 的 身份 ．
The mystery of the frozen airman continues .  ||| 冻僵 飞行员 依然 是 个 秘密 ．
Next stop the lab .  ||| 下 一 站 实验室 ．
And anger in the hood over a sign of the times .  ||| 一 个 时代 的 标记 引起 了 内城 社区 的 愤怒 ．
If Fifty Cent does n 't have good sense then he needs to stop doing what he 's doing .  ||| 如果 ＂ 五 角 ＂ 不 明 道理 的话 ， 那 他 就 得 别 干 他 现在 干 的 事 了 ．
The rap star 's new movie is one thing .  ||| 饶舌 歌星 的 新 电影 是 一 件 事情 ．
but the billboards for it are another .  ||| 但 其 广告牌 是 另 一 件 事情 ．
Residents of Los Angeles want them and their message moved .  ||| 洛杉矶 居民 要求 除去 这些 牌子 及其 内容 ．
and the studio is caving .  ||| 而 制片厂 正在 让步 ．
Also tonight the rise and fall and rise and fall and rise and fall of Martha Stewart .  ||| 另外 ， 今晚 还 有 玛莎·斯图尔特 的 起起落落 和 起起落落 ．
How many ups and downs can one woman have?  ||| 一 个 女人 可以 有 多少 次 起起落落 ？
This is News Night .  ||| 这里 是 新闻 之 夜 ．
First of all here 's a quick track of some of the stories we  're following tonight .  ||| 但是 首先 ， 让 我们 快速 浏览 一下 *pro* 今晚 将 要 追踪 的 部分 故事 ．
President Bush unveiled a seven point one billion dollar plan to help protect Americans against the threat from bird flu . ||| 布什 总统 公布 了 一 项 七十一亿 美元 的 计划 以 帮助 美国人 防范 禽流感 的 威胁 ．
It includes stockpiling enough vaccine to protect twenty million people .  ||| 这 包括 库存 *T*-1 足够 保护 两千万 人 的 疫苗 ．
The president says there is no immediate threat but there is cause for concern .  ||| 总统 说 眼前 没有 威胁 但是 有 *pro* 忧患 的 理由 ．
In Washington tensions are high after an unsual Senate session .  ||| 在 华盛顿 ， 在 一 次 非常规 众议院 会议 之后 空气 十分 紧张 ．
Democrats used a little used rule to force a special closed session .  ||| 民主党 使用 了 一 个 *pro* 很 少 用 的 规则 强行 召开 了 一 次 特殊 的 闭门 会议 ．
Democrats say it was to force Republican leaders to complete a long promised investigation into how Bush administration officials handled pre-war intelligence on Iraq . ||| 民主党 称 这 是 为了 强迫 共和党 领导人 完成 一 个 很 久 以前 的 承诺 ， 即 调查 布什 政府 官员们 如何 处理 伊拉克 战 前 情报 ．
Republicans for their part are calling it a political stunt .  ||| 共和党 方面 则 称 之 为 一 个 政治 花招 ．
And Defense Secretary Donald Rumsfeld says more American troops could soon be heading to Iraq .  ||| 而且 国防部长 唐纳德·拉姆斯菲尔 说 更 多 的 美国 士兵 可能 不久 将 启程 前往 伊拉克 ．
He says they will be needed temporarily to prevent an expected increase in insurgent attacks ahead of Iraq 's parliamentary election in December . ||| 他 说 将 暂时 需要 他们 来 防止 十二月份 伊拉克 国会 选举 前 *pro* 预料 会 增长 的 叛乱 袭击 ．
But we begin tonight with an ongoing mystery .  ||| 不过 ， 今晚 开始 ， 我们 先来 关注 一 个 *T*-1 正在 展开 的 谜团 ．
Who is that lone man discovered last month frozen in California 's Sierra Nevada mountains with just a few tantalizing clues to his identity? ||| 上 个 月 被 人 发现 只身 冰冻 在 加利福尼亚州 内华达山 里 的 男人 是 谁 ？ 有关 他 的 身份 只 有 几 条 *T*-3 吊 人 胃口 的 线索 ．
This we do know at this hour .  ||| 这 是 我们 在 此时 确实 知道 的 ．
The man died more than sixty years ago .  ||| 此 人 是 在 六十多 年 前 去世 的 ．
He was in the military apparently a World War Two airman .  ||| 他 曾 在 军队 中 ， 似乎 是 二 次 大战 的 飞行员 ．
And while it looks like his plane crashed in the mountains so did twenty-five other planes around the same time .  ||| 看起来 好象 他 的 飞机 在 山里 坠毁 了 ， 而 同样 的 时间 前后 有 二十五 架 其他 飞机 也 坠毁 了 ．
Thelma Gutierrez went inside the forensic laboratory where scientists are trying to solve this mystery .  ||| 塞尔玛·古铁雷斯 走进 法医 检验室 ， 这里 科学家们 正在 试图 揭开 这 一 迷团 ．
An address book a plastic comb a vintage penny .  ||| 一 本 地址薄 、 一 把 塑料 梳子 、 一 枚 过时 的 分币 ．
